date, value
8/24/13,0.08
8/25/13,0.08
8/26/13,0.08
8/27/13,0.07
8/28/13,0.07
8/29/13,0.08
8/30/13,0.07
8/31/13,0.07
9/1/13,0.07
9/2/13,0.07
9/3/13,0.09
9/4/13,0.08
9/5/13,0.08
9/6/13,0.08
9/7/13,0.08
9/8/13,0.08
9/9/13,0.08
9/10/13,0.08
9/11/13,0.08
9/12/13,0.08
9/13/13,0.08
9/14/13,0.08
9/15/13,0.08
9/16/13,0.08
9/17/13,0.08
9/18/13,0.08
9/19/13,0.09
9/20/13,0.08
9/21/13,0.08
9/22/13,0.08
9/23/13,0.09
9/24/13,0.09
9/25/13,0.08
9/26/13,0.08
9/27/13,0.08
9/28/13,0.08
9/29/13,0.08
9/30/13,0.06
10/1/13,0.08
10/2/13,0.07
10/3/13,0.08
10/4/13,0.08
10/5/13,0.08
10/6/13,0.08
10/7/13,0.08
10/8/13,0.08
10/9/13,0.09
10/10/13,0.09
10/11/13,0.1
10/12/13,0.1
10/13/13,0.1
10/14/13,0.1
10/15/13,0.1
10/16/13,0.11
10/17/13,0.1
10/18/13,0.1
10/19/13,0.1
10/20/13,0.1
10/21/13,0.09
10/22/13,0.08
10/23/13,0.08
10/24/13,0.08
10/25/13,0.08
10/26/13,0.08
10/27/13,0.08
10/28/13,0.08
10/29/13,0.08
10/30/13,0.08
10/31/13,0.07
11/1/13,0.08
11/2/13,0.08
11/3/13,0.08
11/4/13,0.08
11/5/13,0.08
11/6/13,0.08
11/7/13,0.08
11/8/13,0.08
11/9/13,0.08
11/10/13,0.08
11/11/13,0.08
11/12/13,0.08
11/13/13,0.08
11/14/13,0.09
11/15/13,0.09
11/16/13,0.09
11/17/13,0.09
11/18/13,0.09
11/19/13,0.09
11/20/13,0.09
11/21/13,0.09
11/22/13,0.09
11/23/13,0.09
11/24/13,0.09
11/25/13,0.09
11/26/13,0.09
11/27/13,0.09
11/28/13,0.09
11/29/13,0.07
11/30/13,0.07
12/1/13,0.07
12/2/13,0.09
12/3/13,0.09
12/4/13,0.09
12/5/13,0.09
12/6/13,0.09
12/7/13,0.09
12/8/13,0.09
12/9/13,0.09
12/10/13,0.09
12/11/13,0.08
12/12/13,0.09
12/13/13,0.08
12/14/13,0.08
12/15/13,0.08
12/16/13,0.09
12/17/13,0.09
12/18/13,0.09
12/19/13,0.09
12/20/13,0.09
12/21/13,0.09
12/22/13,0.09
12/23/13,0.09
12/24/13,0.08
12/25/13,0.08
12/26/13,0.08
12/27/13,0.08
12/28/13,0.08
12/29/13,0.08
12/30/13,0.08
12/31/13,0.07
1/1/14,0.07
1/2/14,0.08
1/3/14,0.08
1/4/14,0.08
1/5/14,0.08
1/6/14,0.08
1/7/14,0.07
1/8/14,0.07
1/9/14,0.07
1/10/14,0.07
1/11/14,0.07
1/12/14,0.07
1/13/14,0.07
1/14/14,0.07
1/15/14,0.07
1/16/14,0.07
1/17/14,0.07
1/18/14,0.07
1/19/14,0.07
1/20/14,0.07
1/21/14,0.07
1/22/14,0.07
1/23/14,0.07
1/24/14,0.07
1/25/14,0.07
1/26/14,0.07
1/27/14,0.07
1/28/14,0.07
1/29/14,0.07
1/30/14,0.07
1/31/14,0.07
2/1/14,0.07
2/2/14,0.07
2/3/14,0.07
2/4/14,0.07
2/5/14,0.07
2/6/14,0.07
2/7/14,0.06
2/8/14,0.06
2/9/14,0.06
2/10/14,0.07
2/11/14,0.06
2/12/14,0.07
2/13/14,0.06
2/14/14,0.06
2/15/14,0.06
2/16/14,0.06
2/17/14,0.06
2/18/14,0.07
2/19/14,0.07
2/20/14,0.07
2/21/14,0.07
2/22/14,0.07
2/23/14,0.07
2/24/14,0.07
2/25/14,0.07
2/26/14,0.07
2/27/14,0.07
2/28/14,0.06
3/1/14,0.06
3/2/14,0.06
3/3/14,0.07
3/4/14,0.07
3/5/14,0.08
3/6/14,0.08
3/7/14,0.08
3/8/14,0.08
3/9/14,0.08
3/10/14,0.08
3/11/14,0.08
3/12/14,0.08
3/13/14,0.08
3/14/14,0.08
3/15/14,0.08
3/16/14,0.08
3/17/14,0.08
3/18/14,0.08
3/19/14,0.08
3/20/14,0.08
3/21/14,0.08
3/22/14,0.08
3/23/14,0.08
3/24/14,0.09
3/25/14,0.09
3/26/14,0.08
3/27/14,0.08
3/28/14,0.08
3/29/14,0.08
3/30/14,0.08
3/31/14,0.06
4/1/14,0.08
4/2/14,0.09
4/3/14,0.08
4/4/14,0.08
4/5/14,0.08
4/6/14,0.08
4/7/14,0.09
4/8/14,0.08
4/9/14,0.08
4/10/14,0.08
4/11/14,0.09
4/12/14,0.09
4/13/14,0.09
4/14/14,0.09
4/15/14,0.1
4/16/14,0.09
4/17/14,0.09
4/18/14,0.1
4/19/14,0.1
4/20/14,0.1
4/21/14,0.1
4/22/14,0.1
4/23/14,0.1
4/24/14,0.1
4/25/14,0.09
4/26/14,0.09
4/27/14,0.09
4/28/14,0.09
4/29/14,0.1
4/30/14,0.09
5/1/14,0.09
5/2/14,0.09
5/3/14,0.09
5/4/14,0.09
5/5/14,0.09
5/6/14,0.09
5/7/14,0.08
5/8/14,0.08
5/9/14,0.08
5/10/14,0.08
5/11/14,0.08
5/12/14,0.08
5/13/14,0.09
5/14/14,0.08
5/15/14,0.09
5/16/14,0.09
5/17/14,0.09
5/18/14,0.09
5/19/14,0.09
5/20/14,0.09
5/21/14,0.09
5/22/14,0.09
5/23/14,0.09
5/24/14,0.09
5/25/14,0.09
5/26/14,0.09
5/27/14,0.09
5/28/14,0.09
5/29/14,0.09
5/30/14,0.08
5/31/14,0.08
6/1/14,0.08
6/2/14,0.09
6/3/14,0.1
6/4/14,0.09
6/5/14,0.09
6/6/14,0.09
6/7/14,0.09
6/8/14,0.09
6/9/14,0.09
6/10/14,0.09
6/11/14,0.09
6/12/14,0.09
6/13/14,0.1
6/14/14,0.1
6/15/14,0.1
6/16/14,0.1
6/17/14,0.1
6/18/14,0.1
6/19/14,0.1
6/20/14,0.1
6/21/14,0.1
6/22/14,0.1
6/23/14,0.1
6/24/14,0.1
6/25/14,0.1
6/26/14,0.1
6/27/14,0.1
6/28/14,0.1
6/29/14,0.1
6/30/14,0.09
7/1/14,0.1
7/2/14,0.1
7/3/14,0.09
7/4/14,0.09
7/5/14,0.09
7/6/14,0.09
7/7/14,0.1
7/8/14,0.09
7/9/14,0.09
7/10/14,0.09
7/11/14,0.09
7/12/14,0.09
7/13/14,0.09
7/14/14,0.09
7/15/14,0.09
7/16/14,0.09
7/17/14,0.09
7/18/14,0.09
7/19/14,0.09
7/20/14,0.09
7/21/14,0.1
7/22/14,0.09
7/23/14,0.09
7/24/14,0.09
7/25/14,0.09
7/26/14,0.09
7/27/14,0.09
7/28/14,0.09
7/29/14,0.09
7/30/14,0.09
7/31/14,0.08
8/1/14,0.09
8/2/14,0.09
8/3/14,0.09
8/4/14,0.09
8/5/14,0.09
8/6/14,0.09
8/7/14,0.09
8/8/14,0.09
8/9/14,0.09
8/10/14,0.09
8/11/14,0.09
8/12/14,0.09
8/13/14,0.09
8/14/14,0.09
8/15/14,0.09
8/16/14,0.09
8/17/14,0.09
8/18/14,0.09
8/19/14,0.09
8/20/14,0.09
8/21/14,0.09
8/22/14,0.09
8/23/14,0.09
8/24/14,0.09
8/25/14,0.09
8/26/14,0.09
8/27/14,0.09
8/28/14,0.09
8/29/14,0.07
8/30/14,0.07
8/31/14,0.07
9/1/14,0.07
9/2/14,0.09
9/3/14,0.09
9/4/14,0.09
9/5/14,0.09
9/6/14,0.09
9/7/14,0.09
9/8/14,0.09
9/9/14,0.09
9/10/14,0.09
9/11/14,0.09
9/12/14,0.09
9/13/14,0.09
9/14/14,0.09
9/15/14,0.09
9/16/14,0.09
9/17/14,0.09
9/18/14,0.09
9/19/14,0.09
9/20/14,0.09
9/21/14,0.09
9/22/14,0.09
9/23/14,0.09
9/24/14,0.09
9/25/14,0.09
9/26/14,0.09
9/27/14,0.09
9/28/14,0.09
9/29/14,0.08
9/30/14,0.07
10/1/14,0.09
10/2/14,0.09
10/3/14,0.09
10/4/14,0.09
10/5/14,0.09
10/6/14,0.09
10/7/14,0.09
10/8/14,0.09
10/9/14,0.08
10/10/14,0.09
10/11/14,0.09
10/12/14,0.09
10/13/14,0.09
10/14/14,0.09
10/15/14,0.09
10/16/14,0.09
10/17/14,0.09
10/18/14,0.09
10/19/14,0.09
10/20/14,0.09
10/21/14,0.09
10/22/14,0.09
10/23/14,0.09
10/24/14,0.09
10/25/14,0.09
10/26/14,0.09
10/27/14,0.09
10/28/14,0.09
10/29/14,0.09
